first_word,second_word,bigram,count
"قبل","المغرب","قبل المغرب",354
"اول","مره","اول مره",341
"شنو","؟","شنو ؟",285
"عيد","ميلاد","عيد ميلاد",200
"مره","اشتري","مره اشتري",199
"انا","اول","انا اول",180
"عميل","دايم","عميل دايم",142
"بس","ما","بس ما",111
"اعرف","اذا","اعرف اذا",106
"شي","رخيص","شي رخيص",106
"اذا","في","اذا في",97
"حق","عيد","حق عيد",93
"اذا","ما","اذا ما",90
"قبل","المغرب،","قبل المغرب،",89
"اشتري","من","اشتري من",83
"انا","من","انا من",82
"قبل","المغرب؟","قبل المغرب؟",81
"من","عندكم","من عندكم",81
"اذا","ممكن","اذا ممكن",80
"شي","يكون","شي يكون",80
"انا","عميل","انا عميل",78
"اخوي","يبي","اخوي يبي",73
"قبل","ما","قبل ما",73
"سمعت","انه","سمعت انه",71
"لعيد","ميلاد","لعيد ميلاد",69
"عرض","خاص","عرض خاص",68
"ابغي","شي","ابغي شي",68
"في","شي","في شي",67
"اخوي","يبغي","اخوي يبغي",67
"ابي","شي","ابي شي",66
"عروض","خاصه","عروض خاصه",62
"عندي","مشكله","عندي مشكله",62
"المغرب","اليوم","المغرب اليوم",61
"انا","دايم","انا دايم",59
"مره","اطلب","مره اطلب",59
"احتاج","شي","احتاج شي",58
"اليوم","قبل","اليوم قبل",57
"اليوم","بس","اليوم بس",57
"كيف","الحال؟","كيف الحال؟",56
"ميلاد","اخوي","ميلاد اخوي",56
"اشتري","منكم","اشتري منكم",56
"انه","في","انه في",55
"هل","في","هل في",54
"اذا","عندكم","اذا عندكم",54
"عندي","وقت","عندي وقت",54
"انا","دايما","انا دايما",53
"عندي","استفسار","عندي استفسار",53
"اللي","عندكم","اللي عندكم",51
"اعرف","شنو","اعرف شنو",50
"قبل","الجمعه","قبل الجمعه",50
"من","عندكم،","من عندكم،",50
"سمعت","عن","سمعت عن",50
"اشتري","منكم،","اشتري منكم،",48
"سمعت","ان","سمعت ان",46
"صار","لي","صار لي",45
"عيد","ميلاده","عيد ميلاده",43
"اسال","عن","اسال عن",43
"في","عرض","في عرض",42
"اذا","فيه","اذا فيه",42
"دايم","عندكم،","دايم عندكم،",42
"عندكم","شي","عندكم شي",41
"هديه","عيد","هديه عيد",40
"ممكن","تساعدوني","ممكن تساعدوني",40
"المغرب","اليوم،","المغرب اليوم،",39
"في","عروض","في عروض",39
"لان","عندي","لان عندي",39
"ممكن","اعرف","ممكن اعرف",39
"ما","اقدر","ما اقدر",38
"انا","عندي","انا عندي",38
"هلا","والله،","هلا والله،",38
"في","اي","في اي",37
"بس","ابغي","بس ابغي",37
"ما","عندي","ما عندي",37
"الاسبوع","الجاي","الاسبوع الجاي",36
"مشكله","مع","مشكله مع",35
"عندكم","عروض","عندكم عروض",35
"اليوم","فقط،","اليوم فقط،",34
"ما","في","ما في",34
"اذا","ممكن،","اذا ممكن،",34
"اليوم","بس،","اليوم بس،",34
"وما","توقعت","وما توقعت",34
"عشان","عيد","عشان عيد",34
"عندي","مناسبه","عندي مناسبه",33
"حل","سريع،","حل سريع،",33
"لان","اخوي","لان اخوي",33
"دايم","عندكم","دايم عندكم",33
"شاء","الله","شاء الله",32
"اليوم","فقط","اليوم فقط",32
"انا","زبون","انا زبون",32
"الحال؟","انا","الحال؟ انا",31
"استفسر","عن","استفسر عن",31
"الجمعه","الجايه","الجمعه الجايه",31
"في","طريقه","في طريقه",31
"تري","انا","تري انا",31
"يكون","سعره","يكون سعره",31
"مره","اتعامل","مره اتعامل",31
"قبل","لا","قبل لا",31
"ان","شاء","ان شاء",30
"حل","سريع","حل سريع",30
"استفسار","عن","استفسار عن",30
"بغيت","اسال","بغيت اسال",30
"ممكن","تساعدوني؟","ممكن تساعدوني؟",29
"ان","في","ان في",29
